"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus olfersii" 3 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus sladeni" 6 3 2 0
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sciaenidae" "Argyrosomus" "Argyrosomus regius" 24 0 1 9
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Ariommatidae" "Ariomma" "Ariomma bondi" 6 0 0 0
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Ariommatidae" "Ariomma" "Ariomma melanum" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Congridae" "Ariosoma" "Ariosoma balearicum" 18 2 3 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias grimaldii" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias lunifer" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias polydactylus" 1 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias xenostoma" 3 0 0 0
"Animalia" "Chordata" "Actinopteri" "Siluriformes" "Ariidae" "Arius" "Arius latiscutatus" 0 1 1 1
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus capensis" 8 0 0 0
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus grohmanni" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus imperialis" 6 2 5 3
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus kessleri" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus laterna" 53 9 10 1
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus rueppelii" 13 0 0 3
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus thori" 10 1 1 1
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Tetraodontidae" "Arothron" "Arothron hispidus" 37 8 9 7
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus atlanticus" 22 1 0 7
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus scaber" 12 1 0 0
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus uncinatus" 5 3 0 0
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Agonidae" "Aspidophoroides" "Aspidophoroides olrikii" 22 4 2 2
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Asquamiceps" "Asquamiceps caeruleus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes caulophorus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes gemmifer" 1 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes indicus" 0 2 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes leucopogon" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes macropogon" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes micropogon" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes neopogon" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes niger" 0 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes richardsoni" 1 0 0 0
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina boyeri" 67 122 54 190
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina hepsetus" 27 19 16 15
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina presbyter" 2 53 14 15
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherinomorus" "Atherinomorus forskalii" 8 1 1 2
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherinomorus" "Atherinomorus lacunosus" 23 6 5 4
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sciaenidae" "Atractoscion" "Atractoscion aequidens" 52 5 5 39
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Aulopidae" "Aulopus" "Aulopus filamentosus" 4 1 1 1
"Animalia" "Chordata" "Actinopteri" "Syngnathiformes" "Aulostomidae" "Aulostomus" "Aulostomus strigosus" 0 0 0 1
"Animalia" "Chordata" "Actinopteri" "Trachichthyiformes" "Trachichthyidae" "Aulotrachichthys" "Aulotrachichthys sajademalensis" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Auxis" "Auxis rochei" 170 38 14 102
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Auxis" "Auxis thazard" 109 11 11 36
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Nemichthyidae" "Avocettina" "Avocettina infans" 11 7 5 3
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Awaous" "Awaous lateristriga" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Babka" "Babka gymnotrachelus" 14 1 1 16
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bajacalifornia" "Bajacalifornia calcarata" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bajacalifornia" "Bajacalifornia megalops" 6 4 2 2
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes capriscus" 46 5 4 4
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes punctatus" 1 2 2 1
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes vetula" 15 4 4 4
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Ballerus" "Ballerus ballerus" 8 1 3 2
