"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Benthocometes" "Benthocometes robustus"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Trichiuridae" "Benthodesmus" "Benthodesmus simonyi"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Benthophilus" "Benthophilus stellatus"
"Animalia" "Chordata" "Actinopteri" "Myctophiformes" "Myctophidae" "Benthosema" "Benthosema glaciale"
"Animalia" "Chordata" "Actinopteri" "Myctophiformes" "Myctophidae" "Benthosema" "Benthosema suborbitale"
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Berycidae" "Beryx" "Beryx decadactylus"
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Berycidae" "Beryx" "Beryx splendens"
"Animalia" "Chordata" "Actinopteri" "Blenniiformes" "Blenniidae" "Blennius" "Blennius normani"
"Animalia" "Chordata" "Actinopteri" "Blenniiformes" "Blenniidae" "Blennius" "Blennius ocellaris"
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Blicca" "Blicca bjoerkna"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Labridae" "Bodianus" "Bodianus scrofa"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Labridae" "Bodianus" "Bodianus speciosus"
"Animalia" "Chordata" "Actinopteri" "Myctophiformes" "Myctophidae" "Bolinichthys" "Bolinichthys indicus"
"Animalia" "Chordata" "Actinopteri" "Myctophiformes" "Myctophidae" "Bolinichthys" "Bolinichthys photothorax"
"Animalia" "Chordata" "Actinopteri" "Myctophiformes" "Myctophidae" "Bolinichthys" "Bolinichthys supralateralis"
