"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Coryphaenoides_rupestris"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Coryphaenoides"	1
"Coryphoblennius_galerita"	"Chordata"	"Actinopteri"	"Blenniiformes"	"Blenniidae"	"Coryphoblennius"	2
"Cottunculus_microps"	"Chordata"	"Actinopteri"	"Perciformes"	"Psychrolutidae"	"Cottunculus"	1
"Cottunculus_thomsonii"	"Chordata"	"Actinopteri"	"Perciformes"	"Psychrolutidae"	"Cottunculus"	2
"Cottus_gobio"	"Chordata"	"Actinopteri"	"Perciformes"	"Cottidae"	"Cottus"	2
"Cottus_poecilopus"	"Chordata"	"Actinopteri"	"Perciformes"	"Cottidae"	"Cottus"	7
"Cryptopsaras_couesii"	"Chordata"	"Actinopteri"	"Lophiiformes"	"Ceratiidae"	"Cryptopsaras"	4
"Crystallogobius_linearis"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Crystallogobius"	2
"Ctenolabrus_rupestris"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Ctenolabrus"	6
"Cyclichthys_spilostylus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Diodontidae"	"Cyclichthys"	1
"Cyclopterus_lumpus"	"Chordata"	"Actinopteri"	"Perciformes"	"Cyclopteridae"	"Cyclopterus"	3
"Cyclothone_acclinidens"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	2
"Cyclothone_alba"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	3
"Cyclothone_microdon"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	1
"Cyclothone_obscura"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	2
"Cyclothone_pallida"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	6
"Cyclothone_parapallida"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	1
"Cyclothone_pseudopallida"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	4
"Cyclothone_pygmaea"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Cyclothone"	1
"Cyema_atrum"	"Chordata"	"Actinopteri"	"Saccopharyngiformes"	"Cyematidae"	"Cyema"	4
"Cynoglossus_senegalensis"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Cynoglossidae"	"Cynoglossus"	2
"Cynoponticus_ferox"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Muraenesocidae"	"Cynoponticus"	3
"Cyprinus_carpio"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Cyprinus"	61
"Cyttopsis_rosea"	"Chordata"	"Actinopteri"	"Zeiformes"	"Parazenidae"	"Cyttopsis"	4
"Dactylopterus_volitans"	"Chordata"	"Actinopteri"	"Dactylopteriformes"	"Dactylopteridae"	"Dactylopterus"	2
"Dalatias_licha"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Dalatiidae"	"Dalatias"	4
"Dasyatis_pastinaca"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Dasyatidae"	"Dasyatis"	1
"Dasyatis_tortonesei"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Dasyatidae"	"Dasyatis"	2
"Deania_calcea"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Centrophoridae"	"Deania"	2
"Deania_hystricosa"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Centrophoridae"	"Deania"	2
"Decapterus_macarellus"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Decapterus"	4
"Decapterus_russelli"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Decapterus"	1
"Dentex_angolensis"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Dentex"	2
"Dentex_dentex"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Dentex"	2
"Dentex_gibbosus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Dentex"	2
"Derichthys_serpentinus"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Derichthyidae"	"Derichthys"	4
"Desmodema_polystictum"	"Chordata"	"Actinopteri"	"Lampriformes"	"Trachipteridae"	"Desmodema"	1
"Diaphus_bertelseni"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Diaphus"	1
